Question,Answer
What are the prescribed medicines for Chlamydia?,Consult a doctor before taking medicines. Common antibiotics include azithromycin and doxycycline.
What is Gonorrhea?,"Gonorrhea is a bacterial STI caused by Neisseria gonorrhoeae, affecting the genitals, rectum, and throat."
What are the prescribed medicines for Gonorrhea?,Consult a doctor before taking medicines. Common treatments include ceftriaxone and azithromycin.
What is Syphilis?,"Syphilis is an STI caused by the bacterium Treponema pallidum, progressing through multiple stages if left untreated."
What are the prescribed medicines for Syphilis?,Consult a doctor before taking medicines. Penicillin G is the most commonly used antibiotic.
What is HIV (Human Immunodeficiency Virus)?,"HIV is a virus that attacks the immune system, making it harder for the body to fight infections and diseases."
What are the prescribed medicines for HIV?,Consult a doctor before taking medicines. Common treatments include antiretroviral therapy (ART) with drugs like tenofovir and efavirenz.
What is Mycoplasma Genitalium?,"Mycoplasma genitalium is a bacterial STI that can cause urethritis, cervicitis, and pelvic inflammatory disease."
What are the prescribed medicines for Mycoplasma Genitalium?,Consult a doctor before taking medicines. Common antibiotics include azithromycin and moxifloxacin.
What is Ureaplasma Infection?,"Ureaplasma infection is caused by bacteria in the Ureaplasma genus, often transmitted through sexual contact or from mother to child during birth."
What are the prescribed medicines for Ureaplasma Infection?,Consult a doctor before taking medicines. Common treatments include azithromycin and doxycycline.
What is Donovanosis?,"Donovanosis, or granuloma inguinale, is a bacterial STI caused by Klebsiella granulomatis, leading to ulcerative genital lesions."
What are the prescribed medicines for Donovanosis?,Consult a doctor before taking medicines. Common antibiotics include azithromycin and doxycycline.
What is Pubic Lice (Crabs)?,"Pubic lice are tiny parasitic insects that infest the pubic hair, causing itching and irritation."
What are the prescribed medicines for Pubic Lice?,Consult a doctor before taking medicines. Common treatments include permethrin cream and malathion lotion.
What is HPV (Human Papillomavirus)?,HPV is a common viral STI that can cause genital warts and increase the risk of cervical and other cancers.
What are the prescribed medicines for HPV?,Consult a doctor before taking medicines. Common treatments for symptoms include imiquimod cream and podofilox.
What is Herpes Simplex Virus (HSV)?,"HSV is a viral infection causing oral and genital herpes, characterized by painful sores and blisters."
What are the prescribed medicines for Herpes Simplex Virus (HSV)?,Consult a doctor before taking medicines. Common antiviral drugs include acyclovir and valacyclovir.
What is Hepatitis B?,Hepatitis B is a viral infection that affects the liver and can lead to chronic disease or liver failure.
What are the prescribed medicines for Hepatitis B?,Consult a doctor before taking medicines. Common antiviral drugs include tenofovir and entecavir.
What is Hepatitis C?,Hepatitis C is a viral liver infection that can cause both acute and chronic disease.
What are the prescribed medicines for Hepatitis C?,Consult a doctor before taking medicines. Common treatments include sofosbuvir and ledipasvir.
What is Cytomegalovirus (CMV)?,CMV is a common viral infection that can cause serious illness in immunocompromised individuals.
What are the prescribed medicines for Cytomegalovirus (CMV)?,Consult a doctor before taking medicines. Common antiviral drugs include ganciclovir and valganciclovir.
What is Bacterial Vaginosis?,Bacterial vaginosis is a common vaginal infection caused by an imbalance of bacteria in the vagina.
What are the prescribed medicines for Bacterial Vaginosis?,Consult a doctor before taking medicines. Common treatments include metronidazole and clindamycin.
What is Lymphogranuloma Venereum (LGV)?,"LGV is a bacterial STI caused by Chlamydia trachomatis, leading to swollen lymph nodes and genital ulcers."
What are the prescribed medicines for Lymphogranuloma Venereum (LGV)?,Consult a doctor before taking medicines. Common treatments include doxycycline and erythromycin.
What is Scabies?,"Scabies is a skin infestation caused by mites, leading to intense itching and a rash."
What are the prescribed medicines for Scabies?,Consult a doctor before taking medicines. Common treatments include permethrin cream and ivermectin.
What is Molluscum Contagiosum?,"Molluscum contagiosum is a viral skin infection that causes small, painless bumps."
What are the prescribed medicines for Molluscum Contagiosum?,Consult a doctor before taking medicines. Common treatments include cryotherapy and imiquimod cream.
What is Chancroid?,Chancroid is a bacterial STI that causes painful genital ulcers.
What are the prescribed medicines for Chancroid?,Consult a doctor before taking medicines. Common treatments include azithromycin and ceftriaxone.
What is Granuloma Inguinale?,Granuloma inguinale is a bacterial STI that causes chronic ulcers in the genital region.
What are the prescribed medicines for Granuloma Inguinale?,Consult a doctor before taking medicines. Common treatments include doxycycline and azithromycin.
What is Zika Virus?,"Zika virus is a mosquito-borne viral infection that can cause fever, rash, and birth defects in pregnant women."
What are the prescribed medicines for Zika Virus?,Consult a doctor before taking medicines. There is no specific antiviral treatment; care focuses on symptom relief.
What is Pelvic Inflammatory Disease (PID)?,"PID is an infection of the female reproductive organs, often caused by sexually transmitted bacteria."
What are the prescribed medicines for Pelvic Inflammatory Disease (PID)?,Consult a doctor before taking medicines. Common medications include antibiotics such as doxycycline and ceftriaxone.
What is Human Papillomavirus (HPV)?,HPV is a viral infection that can cause warts and is associated with cervical cancer.
What are the prescribed medicines for Human Papillomavirus (HPV)?,Consult a doctor before taking medicines. Common treatments include topical medications like imiquimod and podophyllin.
What is Hepatitis A?,Hepatitis A is a viral liver infection that spreads through contaminated food and water.
What are the prescribed medicines for Hepatitis A?,Consult a doctor before taking medicines. No specific antiviral treatment; supportive care and rest are recommended.
What is Bacterial Vaginosis (BV)?,"BV is a bacterial imbalance in the vaginal flora, causing discharge and odor."
What are the prescribed medicines for Bacterial Vaginosis (BV)?,Consult a doctor before taking medicines. Common medications include metronidazole and clindamycin.
What is Candidiasis (Yeast Infection)?,"A fungal infection caused by *Candida* species, leading to itching and discharge."
What are the prescribed medicines for Candidiasis (Yeast Infection)?,Consult a doctor before taking medicines. Common treatments include fluconazole and clotrimazole.
What is Polycystic Ovary Syndrome (PCOS)?,"A hormonal disorder causing irregular periods, weight gain, and ovarian cysts."
What are the prescribed medicines for Polycystic Ovary Syndrome (PCOS)?,Consult a doctor before taking medicines. Common treatments include metformin and hormonal contraceptives.
